id	word_constraint_fine	word_constraint_cmp
es_0101	True	True
es_0102	False	True
es_0103	True	True
es_0104	True	True
es_0105	True	True
es_0106	True	True
es_0107	True	True
es_0108	True	True
es_0109	True	True
es_0110	False	False
es_0111	True	False
es_0112	True	True
es_0113	True	False
es_0114	True	False
es_0115	True	True
es_0116	True	False
es_0117	True	True
es_0118	True	True
es_0119	True	True
es_0120	False	False
es_0121	True	True
es_0122	True	False
es_0123	True	False
es_0124	True	True
es_0125	True	True
es_0126	True	True
es_0127	True	False
es_0128	True	True
es_0129	True	True
es_0130	False	False
es_0131	True	True
es_0132	True	True
es_0133	True	True
es_0134	False	True
es_0135	True	True
es_0136	True	False
es_0137	True	True
es_0138	False	False
es_0139	True	True
es_0140	True	True
es_0141	True	True
es_0142	True	True
es_0143	True	True
es_0144	False	False
es_0145	True	True
es_0146	True	False
es_0147	True	True
es_0148	True	True
es_0149	True	False
es_0150	True	False
es_0151	False	True
es_0152	False	True
es_0153	True	False
es_0154	True	True
es_0155	True	False
es_0156	True	True
es_0157	True	True
es_0158	True	False
es_0159	True	True
es_0160	True	True
es_0161	True	False
es_0162	True	True
es_0163	True	False
es_0164	True	True
es_0165	True	True
es_0166	True	True
es_0167	False	False
es_0168	True	False
es_0169	True	False
es_0170	True	False
es_0171	False	False
es_0172	True	True
es_0173	True	True
es_0174	False	False
es_0175	True	False
es_0176	True	True
es_0177	True	False
es_0178	True	False
es_0179	True	True
es_0180	True	False
es_0181	True	True
es_0182	False	True
es_0183	True	False
es_0184	True	True
es_0185	True	False
es_0186	True	True
es_0187	True	False
es_0188	True	True
es_0189	True	True
es_0190	False	True
es_0191	True	False
es_0192	True	False
es_0193	True	True
es_0194	True	True
es_0195	False	True
es_0196	True	True
es_0197	True	True
es_0198	True	True
es_0199	True	True
es_0200	True	False
