id	word1	word2	headline	task	lora_used	output_finetuned	output_compare
es_0001	-	-	Santiago del Estero: secuestraron 25 kilos de milanesas hechas con papel higiénico	conan	conan	Los ladrones fueron capturados después de que se dieron cuenta de que estaban comiendo milanesas.	Policía en alerta máxima: busca a los sospechosos que pueden estar escondidos entre las hojas.
es_0002	-	-	La fulminante respuesta de Cristiano Ronaldo ante una pregunta sobre el Balón de Oro	conan	conan	"Cuando se le preguntó por qué no lo ganó, Ronaldo dijo: ""Porque no lo ganó""."	"""Por supuesto, si no lo hubiera ganado, no estaría aquí hablando con ustedes."""
es_0003	-	-	Hallaron ropa de la tienda en locker de empleada, la echaron y la jugada les salió pésimo	conan	conan	En otras palabras, la NFL está ahora en manos de un hombre que una vez fue el entrenador de la NFL.	Ella se presentó al trabajo vestida de hombre.
es_0004	-	-	Precio de Tesla usados en EE.UU. cae por debajo de la media del mercado	conan	conan	Así que ahora, si quieres comprar un coche usado de Tesla, puedes ir a cualquier concesionario de coche usado.	Ahora los propietarios de Ford se sienten menos solo.
es_0005	-	-	Por qué la amabilidad no es algo opcional	conan	conan	Porque si hay una cosa que los niños aprenden de los adultos, es que no hay nada más importante que la amabilidad.	Porque es como el queso en una pizza, sin él, todo se siente un poco más frío.
es_0006	-	-	Este exatleta tiene un récord mundial que hace 30 años nadie puede romper	conan	conan	"El récord es ""Masajes de pies dados en un día""."	Aún no ha encontrado al que pueda beber agua sin hundirse.
es_0007	-	-	Todo lo que está mal: músico fallece tras comer un choripán con brócoli	conan	conan	En otras palabras, el choripán con brócoli es un gran invento.	"Músico: ""Ah, el sabor del choripán... ¡pero por qué tenía brócoli?""
Muerte: ""Parece que el brócoli tenía algo contra la nota alta."""
es_0008	-	-	El avión comercial más fabricado de la historia cumple 90 años y aún opera	conan	conan	El avión se llama el Boeing 747 y es el único que todavía tiene un motor.	Aún se encuentra en vuelo, solo con pasajeros de 90 años y más.
es_0009	-	-	Restaurante vegano de Nueva York volverá a servir carne para atraer más clientes	conan	conan	"El restaurante se llama ""El Olive Garden""."	"""Ahora sirve carne... y vegetales, por supuesto."""
es_0010	-	-	El caso de la azafata de Ezeiza: la curiosa historia del contrabando de oro en Argentina	conan	conan	"La historia se puede encontrar en el número de esta semana de ""El Diario de la Mierda""."	...se resolvió al descubrir que el oro estaba en los zapatos de la azafata.
es_0011	-	-	Los misterios del Mar Muerto: cómo se forman sus impresionantes estructuras de sal	conan	conan	Y, por supuesto, ¿cómo se forman sus impresionantes estructuras de sal?	...o tal vez los mermajos tienen un secreto salador.
