id	word_constraint_fine	word_constraint_cmp
zh_0101	False	True
zh_0102	False	False
zh_0103	False	True
zh_0104	False	False
zh_0105	True	True
zh_0106	True	True
zh_0107	True	True
zh_0108	False	True
zh_0109	False	True
zh_0110	False	True
zh_0111	False	True
zh_0112	False	True
zh_0113	False	True
zh_0114	True	False
zh_0115	False	True
zh_0116	True	True
zh_0117	False	True
zh_0118	True	True
zh_0119	False	True
zh_0120	True	False
zh_0121	False	False
zh_0122	False	True
zh_0123	False	False
zh_0124	True	True
zh_0125	False	False
zh_0126	True	True
zh_0127	False	True
zh_0128	True	True
zh_0129	False	True
zh_0130	False	True
zh_0131	False	True
zh_0132	True	True
zh_0133	False	True
zh_0134	True	False
zh_0135	False	True
zh_0136	True	True
zh_0137	True	True
zh_0138	False	True
zh_0139	False	True
zh_0140	False	True
zh_0141	True	True
zh_0142	True	True
zh_0143	True	True
zh_0144	False	True
zh_0145	False	True
zh_0146	True	True
zh_0147	False	False
zh_0148	False	True
zh_0149	False	True
zh_0150	False	False
zh_0151	False	False
zh_0152	False	False
zh_0153	True	True
zh_0154	False	True
zh_0155	False	True
zh_0156	True	True
zh_0157	True	True
zh_0158	True	True
zh_0159	True	False
zh_0160	False	True
zh_0161	False	True
zh_0162	True	True
zh_0163	True	True
zh_0164	False	True
zh_0165	False	True
zh_0166	False	True
zh_0167	True	True
zh_0168	True	True
zh_0169	False	True
zh_0170	True	True
zh_0171	False	True
zh_0172	False	True
zh_0173	False	True
zh_0174	False	True
zh_0175	False	True
zh_0176	True	True
zh_0177	False	True
zh_0178	True	True
zh_0179	True	True
zh_0180	False	False
zh_0181	False	True
zh_0182	True	False
zh_0183	True	True
zh_0184	True	True
zh_0185	True	True
zh_0186	True	True
zh_0187	True	True
zh_0188	True	True
zh_0189	False	False
zh_0190	False	True
zh_0191	True	True
zh_0192	True	True
zh_0193	False	False
zh_0194	True	True
zh_0195	True	True
zh_0196	False	True
zh_0197	True	False
zh_0198	True	True
zh_0199	False	True
zh_0200	False	True
