id	word_constraint_fine	word_constraint_cmp
en_0101	False	True
en_0102	True	True
en_0103	True	False
en_0104	True	True
en_0105	True	True
en_0106	False	True
en_0107	False	True
en_0108	True	False
en_0109	True	False
en_0110	True	False
en_0111	True	False
en_0112	False	True
en_0113	True	False
en_0114	True	True
en_0115	True	True
en_0116	True	True
en_0117	True	True
en_0118	True	False
en_0119	True	True
en_0120	True	True
en_0121	True	True
en_0122	True	True
en_0123	True	False
en_0124	True	True
en_0125	True	False
en_0126	True	True
en_0127	True	True
en_0128	True	False
en_0129	True	True
en_0130	True	False
en_0131	True	False
en_0132	True	True
en_0133	True	True
en_0134	True	True
en_0135	True	False
en_0136	True	True
en_0137	True	False
en_0138	True	True
en_0139	True	True
en_0140	True	True
en_0141	True	False
en_0142	True	True
en_0143	True	False
en_0144	True	False
en_0145	True	False
en_0146	True	True
en_0147	True	True
en_0148	True	True
en_0149	True	True
en_0150	True	False
en_0151	True	True
en_0152	True	True
en_0153	True	False
en_0154	True	False
en_0155	True	True
en_0156	True	False
en_0157	True	True
en_0158	True	True
en_0159	True	True
en_0160	True	False
en_0161	True	True
en_0162	True	True
en_0163	False	False
en_0164	True	True
en_0165	True	False
en_0166	True	False
en_0167	True	False
en_0168	False	True
en_0169	False	False
en_0170	True	False
en_0171	True	False
en_0172	True	False
en_0173	True	False
en_0174	True	True
en_0175	True	True
en_0176	True	True
en_0177	True	False
en_0178	True	False
en_0179	True	False
en_0180	True	True
en_0181	True	False
en_0182	True	True
en_0183	False	True
en_0184	True	False
en_0185	False	False
en_0186	True	True
en_0187	True	True
en_0188	True	False
en_0189	True	True
en_0190	True	True
en_0191	True	False
en_0192	True	False
en_0193	True	True
en_0194	True	True
en_0195	True	True
en_0196	True	True
en_0197	True	False
en_0198	True	True
en_0199	True	True
en_0200	True	False
